HVQ_036_000001	Của bầu một nước, không gì quý bằng đất đai: nhân dân và của cải đều do đấy mà sinh ra.
HVQ_036_011023	(Bấy giờ lấy Lê Hữu Kiểu, Hà Tông Huân, Nhữ Đình Toán, Trần Danh Ninh làm chức ấy).
HVQ_036_011024	Năm thứ 9 [1778], đặt Tả Hữu pháp ty, lấy Hà Tông Huân, Vũ Công Trấn làm chức ấy.
HVQ_036_011025	Dụ rằng: "Pháp ty là tai mắt nhà vua, đời xưa đặt bên cạnh vua, cho giữ pháp luật là để nhờ uy tín mà thi hành.
HVQ_036_011026	Gần đây, vì ngoài biên giới có việc, chính sự phần nhiều làm cẩu thả, đến nỗi lòng người coi thường, mọi phép chưa chấn chính.
HVQ_036_011027	Ta ngày đêm áy náy, những lo sửa chính đẹp loạn; cái tệ cưỡi ngựa buông cương sao có thể ngơ được!
HVQ_036_011028	Nghĩ đến cỗi gốc sửa định, là ở luật pháp của triều đình, nếu sức đi sức lại cũng chỉ là bài văn niêm yết để đấy, sao bằng chọn đúng quan giỏi, để nhờ sự giúp đỡ thực tế.
HVQ_036_011029	Vậy bắt chước đời xưa đặt quan, để lập kỷ cương pháp độ.
HVQ_036_011030	Các ngươi giữ chức đàn hặc, thiên tính cứng thẳng, nên làm Tả Hữu pháp ty.
HVQ_036_011031	Phàm chính sự lớn của nhà nước cho được do hai ban văn võ họp bàn, nếu thấy việc gì hơn kém, nặng nhẹ, chưa được công bằng, được phép bàn bạc thương lượng cho kỹ.
HVQ_036_011032	Công luận đã hợp ý thì làm sớ tâu lên ngay.
HVQ_036_011033	Còn như triều chính có chỗ lầm sót, quan ty có kẻ gian tà, đều cho các ngươi giữ chức nói thẳng, theo việc mà uốn nắn.
HVQ_036_011034	Nếu gặp việc binh bề bộn, chưa kịp xem xét, thì nên trình đi trình lại nhiều lần, không được dìm bỏ, như thế để chỉnh đốn.
HVQ_036_011035	Quan chức chí.
HVQ_036_011036	549 kỷ cương của triều đình.
HVQ_036_011037	Các ngươi nên cố giữ phong thế, gắng đem đức tài, làm cho mọi việc đều thỏa đáng, chính sự được công bằng, cùng gây nên thối tốt làm trọn chức vụ, mau giúp cho chính sự chính đốn, trong sạch.
HVQ_036_011038	Hãy cẩn thận về công việc của các ngươi, để thỏa lòng ta mong đợi.
HVQ_036_011039	Nay dụ".
HVQ_036_011040	[Sau đó] lại đặt chức điện chính, chia định Kinh sư làm chín điện, cứ bốn khu làm một điện, đặt một viên điện chính, đốc suất các khu trong từng điện.
HVQ_036_011041	Năm thứ 24 [1763], định lại các quan bộ và tự, y theo lệ cũ.
HVQ_036_011042	Mỗi bộ đặt chức lang trung, viên ngoại, tư vụ, ngự sử, chiếu khám, mỗi chức một viên, còn thừa thì bổ ra ngoài.
HVQ_036_011043	Lại bớt chức Thừa ty và quan phủ huyện ở xứ Yên Quảng, chức sự đầu cho thuộc về trấn thủ.
HVQ_036_011044	Năm thứ 25 [1764], đặt chức trưng phủ ở các phủ, chiếu thu tiền thuế tô, thuế điệu gia thêm.
HVQ_036_011045	Chiêu Thống, năm thứ 1 [1787], bãi các viên chức sáu phiên, công việc cho về cả sáu bộ.
HVQ_036_011046	Sắc dụ rằng: "Quốc triều buổi đầu theo đời xưa đặt quan, đặt ra sáu bộ, chia chức việc đốc suất thuộc hạ, giữ liêm giữ phép, cùng noi theo nhau, mưu lớn về trị bình, để lại làm phép tắc mãi mãi.
HVQ_036_011047	Từ thời Trung hưng trở đi, quyền coi việc chia cho sáu phiên, thể thống rối loạn bởi quan hệ riêng, tích lâu thành hỏng, nên mới có ngày nay.
HVQ_036_011048	Ta còn tuổi nhỏ, cầm quyền buổi đầu, chấn chỉnh các chức quan, quyết noi theo điển cũ mà làm.
HVQ_036_011049	Phàm chức việc của sáu phiên, đều trả về sáu bộ.
HVQ_036_011050	Tham chước xét định, nhất luật ban hành".
HVQ_036_011051	Năm ấy đặt liêu thuộc sáu bộ, tham chiếu quan chế cũ đời Hồng Đức mà định lại.
HVQ_036_011052	Lại bộ, lệ cũ: Tư vụ một viên, Thuyên khảo thanh lại ty, lang trung, viên ngoại đều một viên, thuộc lại 80 người.
HVQ_036_011053	Nay định lại: Tư vụ để như cũ, Thanh lại ty chia làm hai thuộc (Văn tuyển, Thuộc công), mỗi thuộc có lang trung, viên ngoại đều một viên.
HVQ_036_011054	Đặt thêm 4 viên câu kê, thuộc lại rút xuống 60 người: cai bạ 10 người, thủ bạ 10 người, đô lại 40 người.
HVQ_036_011055	Hộ bộ, lệ cũ: Tư vụ một viên, hai thuộc của ty Thanh lại (Bản tịch, Độ chi), mỗi ty lang trung một viên, viên ngoại 2 viên, thuộc lại 110 người.
HVQ_036_011056	Nay định lại: Tư vụ và Thanh lại ty đều để như cũ.
HVQ_036_011057	Đặt thêm 4.
HVQ_036_011058	viên câu kê, thuộc lại rút xuống 80 người: cai bạ 10 người, thú bạ 10 người, đô lại 60 người.
HVQ_036_011059	Lễ bộ, lệ cũ: Tư vụ một viên, Nghi chế thanh lại ty, lang trung, viên ngoại đều một viên, thuộc lại 71 người.
HVQ_036_011060	Nay định lại: Tư vụ để như cũ, Thanh lại ty chia làm hai thuộc (Nghi chế, Từ chế), mỗi thuộc có lang trung, viên ngoại mỗi chức một viên.
HVQ_036_011061	Đặt thêm viên câu kê, thuộc lại rút xuống 60 người: cai bạ 10 người, thủ bạ 10 người, đô lại 40 người.
HVQ_036_011062	Binh bộ, lệ cũ: Tư vụ một viên, hai thuộc của ty Thanh lại (Vũ khố, Quân vụ), lang trung, viên ngoại đều một viên, thuộc lại 128 người.
HVQ_036_011063	Nay định lại: Tư vụ và Thanh lại ty đều để như cũ, mỗi thuộc lang - trung, viên ngoại đều một viên.
HVQ_036_011064	Đặt thêm 4 viên câu kê, thuộc lại rút xuống 80 người: cai bạ 10 người, thủ bạ 10 người, đô lại 60 người.
HVQ_036_011065	Hình bộ, lệ cũ: Tư vụ một viên, năm thuộc ty Thanh lại (Khâm hình, Thận hình, Minh hình, Tường hình, Chính hình) mỗi thuộc, lang trung, viên ngoại đều một viên, thuộc lại 167 người.
HVQ_036_011066	Nay định lại: Tư vụ theo như cũ, Thanh lại ty đặt hai thuộc, mỗi thuộc lang trung, viên ngoại đều một viên.
HVQ_036_011067	Đặt thêm 2 viên câu kê, thuộc lại rút xuống 60 người: cai bạ 10 người, thủ bạ 10 người, đô lại 40 người.
HVQ_036_011068	Công bộ, lệ cũ: Tư vụ một viên, hai thuộc của ty Thanh lại (Doanh thiện, Công trình) lang trung, viên ngoại đều một viên, thuộc lại 40 người.
HVQ_036_011069	Nay định lại: Tư vụ và Thanh lại ty đều để như cũ.
HVQ_036_011070	Đặt thêm 3 viên câu kê, thuộc lại đặt 60 người: cai bạ 10 người, thủ bạ 10 người, đô lại 40 người.
HVQ_036_011071	Tam công, tam cô bắt đầu đặt ra từ đầu nhà Lý để làm danh hiệu gia thêm cho đại thần, chưa phải là những chức làm việc.
HVQ_036_011072	Về sau mới giao cho chính sự, có lúc kiêm làm chức tể tướng (như đời Lý Anh Tông, Tô Hiến Thành làm Thái phó, đời Lý Cao Tông, Đỗ An Dĩ làm Thái sư, đều kiêm chức đồng bình chương sự.
HVQ_036_011073	Đời Trần cũng theo như thế, lại đặt thêm các hàm thống quốc, tá thánh, phụ quốc để gia thêm cho các quan tôn thất và trọng thần (như đời Kiến Trung [1225 - 1232], Trần Thủ Độ làm thống quốc thái sư, đời Khai Thái [1324 - 1329], Nhật Duật làm Tá thánh thái sư, Văn Bích làm Phụ quốc thái bảo).
HVQ_036_011074	Về chính sự thì cho coi cả việc quân việc dân (như Thủ Độ lấy chức Thái sư làm việc cầm quân đánh giặc, Phùng Tá Chu lấy chức Thái phó quyền coi việc Nghệ-An), không phải như đời xưa [những chức ấy] chỉ có trách nhiệm bàn bạc về trị đạo.
HVQ_036_011075	Đầu nhà Lê chỉ đặt các chức bảo và phó, chưa đặt đủ [tam thái, tam thiếu].
HVQ_036_011076	Đến đời Hồng-Đức [1470 - 1498] định lại quan chế, liệt những chức ấy vào bậc chính nhất phẩm.
HVQ_036_011077	Thời Trung hưng về sau, giai phẩm tuy theo cũ, nhưng chỉ dùng làm danh chức gia thêm cho các đại thần, không phải là chức làm việc.
HVQ_036_011078	Chức tam tư, đời nhà Lý chưa có.
HVQ_036_011079	Đầu nhà Trần mới đặt tư đồ để gia thêm cho các quan tôn thất đại thần.
HVQ_036_011080	Về sau đặt cả tư mã, tư không, đều (1) Tam công: tức là ba chức thái (theo quan chế nhà Chu).
HVQ_036_011081	Tam cô: tức là ba chức thiếu (cô là chức ở dưới các chức công và ở trên các chức khanh).
HVQ_036_011082	552 Lịch triều hiến chương loại chí là những chức gia thêm (như Nghệ Tông buổi đầu tặng cho Trần Khiên Ngô chức Tư mã, Phế đế buổi đầu giao cho Lê Quý Ly chức Tư không).
HVQ_036_011083	Triều Lê, Thái Tổ khi mới dựng nước bắt đầu đặt ba chức ấy (Trần Hãn làm Tư đồ, Lê Sát làm Tư mã, Đinh Lễ làm Tư không).
HVQ_036_011084	Về sau trao các chức ấy cho các quan thân thuộc và bày tôi có công, đều thêm chữ "nhập nội".
HVQ_036_011085	Đến đời Thánh Tông định quan chế mới bãi ba chức ấy.
HVQ_036_011086	Thời Trung hưng về sau lại theo quan chế lúc mới dựng nước, lấy ba chức ấy làm gia hàm cho các đại thần.
HVQ_036_011087	Chức tể tướng, đời Đinh về trước tên gọi là gì không thể khảo rõ được.
HVQ_036_011088	Lê Đại Hành đặt quan, mới có chức tổng quản coi việc quân dân (năm Hưng Thống thứ 7 [995], cho Từ Mục làm chức ấy), tóm giữ việc nước, tức là công việc của tể tướng.
HVQ_036_011089	Lý Thái Tổ mới dựng nước, cho Trần Cao làm tướng công, tên chức rất quê.
HVQ_036_011090	Thái Tông nối ngôi, mới dùng chức phụ quốc thái úy giữ chính sự, chức nhiệm cầm cân, tức là tể tướng.
HVQ_036_011091	Đến đời Nhân Tông lại thêm mấy chữ "kiểm hiệu bình chương quân quốc trọng sự", thì tên quan cũng nhã mà chức vụ càng trọng.
HVQ_036_011092	Đầu đời Trần, Thái Tông đặt quan, đổi làm tả hữu Tướng quốc, kiêm kiểm hiệu đặc tiến khai phủ nghi đồng tam ty bình chương sự, tức là chức thái úy phụ quốc đời Lý.
HVQ_036_011093	Từ đời Kiến Trung [1225 - 1232] về sau, đều dùng thân vương trong tôn thất làm chức ấy, gia phong tước quốc công.
HVQ_036_011094	Những người hiền tài họ khác, dầu được chọn vào chính phủ, chưa từng được làm chức bình chương, vì lấy sự thân với người thân làm trọng, đó là thể lệ đặt chức tể tướng của triều Trần.
HVQ_036_011095	Cái tệ về sau là để cho họ ngoại chuyên quyền rồi đến cướp ngôi (cuối đời Trần, Lê Quý Ly là họ ngoại cầm quyền, tiến phong Tư không đồng bình chương, gia đến Phụ chính thái sư, Quốc tổ chương hoàng, rồi cướp ngôi nhà Trần).
HVQ_036_011096	Triều Lê, Thái Tổ cũng đặt chức bình chương, nhưng lúc đầu vội vàng, chức danh chưa trọng.
HVQ_036_011097	Sau khi dẹp yên giặc Minh, mới đặt chức tướng quốc gia thêm "kiểm hiệu bình chương quân quốc trọng sự", tên gọi cũng theo như nhà Trần.
HVQ_036_011098	Đến đời Thánh Tông đặt quan mới bãi chức bình chương tướng quốc, việc cầm quyền giao riêng cho trọng thần kiêm
HVQ_036_011099	Quan chức chí 553 thêm, không đặt tên quan khác.
HVQ_036_011100	Đến đời Hồng Thuận [1509 - 1516], Tương Dực đế lại đặt chức bình chương phụ quốc, lại có tên gọi thừa tướng, thượng tể (như Lạng quốc công Lê Phụ gia chức Tả bình chương quân quốc trọng sự nhập nội kiểm hiệu thượng tướng và như Quốc công Nguyễn Văn Lang gia chức Khai phủ nghị đồng tam ty bình chương quân quốc trọng sự thừa tướng thượng tể.
HVQ_036_011101	Đời sau vẫn dùng theo làm tôn hàm cho bọn cường thần).
HVQ_036_011102	Danh hàm tôn trọng [của tể tướng], so với trước hơn hẳn, nhưng cường thần chuyên quyền, mối loạn cũng gây ra từ đấy.
HVQ_036_011103	Lúc đầu thời Trung hưng, Lượng quốc công Trịnh [Kiểm] dự chính quyền, tiến phong chức Thượng tướng bình chương quân quốc trọng sự, Trưởng quốc công [Trịnh Tùng] nối quyền, phong chức Tả tướng thái úy; đều là làm việc tể tướng, mà việc quân cùng mọi việc đều quyết định trước, quyền cao chức trọng của tể tướng thời bình không thể bằng được.
HVQ_036_011104	Bấy giờ lại có các hàm Tả tướng, hữu tướng, bình chương, đều để gia thêm cho các trọng thần.
HVQ_036_011105	(Trong thời Quang Hưng [1578 - 1600] gia cho Hoàng Đình Ái chức tả tướng đồng bình chương sự, Đoan công [Nguyễn Hoàng] làm Hữu tướng).
HVQ_036_011106	Tướng có công lao cầm quyền, tên gọi vẫn theo như lúc mới dựng nước.
HVQ_036_011107	Đời Quang Hưng, sau khi đã diệt nhà Mạc, Trưởng quốc công [Trịnh Tùng] tiến lên ngôi vương.
HVQ_036_011108	Để bàn chính sự ở Phủ đường, bắt đầu đặt chức tham tụng, mà bỏ tên các chức tả hữu tướng và bình chương.
HVQ_036_011109	Tự đấy về sau, chính sự thuộc về phủ chúa, tham tụng tức là tể tướng, nhưng đó chỉ là quyền chứ không phải là chức.
HVQ_036_011110	Cho nên khi chọn dùng người, không cứ phẩm thứ, có khi là thượng thư vào làm tham tụng, có khi là thị lang mà hành tham tụng, các đời noi theo lệ ấy cho đến cuối triều Lê.
HVQ_036_011111	Đến khi Chiêu Thống nối ngôi, nhà vua nhất thống, mới bãi chức tham tụng mà đặt bình chương, lại theo quan chế cũ, nhưng thế nước đã nghiêng đổ, không thể làm gì được, chẳng bao lâu mà biến cách.
HVQ_036_011112	Chức á tướng, đời Lý là tả hữu tham trì chính sự.
HVQ_036_011113	Đời Trần cũng theo thế, đặt chức tham tri chính sự, lại đặt chức tri mật viện sự, đều là chức ở trong chính phủ, dưới chức tướng quốc.
HVQ_036_011114	Nhà Lê buổi đầu theo.
HVQ_036_011115	554 Lịch triều hiến chương loại chí nhà Trần, cũng đặt các chức mật viện tham tri.
HVQ_036_011116	Trong đời Hồng Đức mới bãi các chức ấy, công việc về cả sáu bộ, mà việc cầm cân nấy mực không còn có chức phó nữa.
HVQ_036_011117	Thời Trung hưng về sau, nhà chúa cầm quyền, mới đặt quan bồi tụng phủ đường (Kính Tông, năm Hoằng Định thứ 2 [1601], sai Nguyễn Danh Thế làm Bồi tụng phủ đường) cùng một lúc thường có 3 - 4 viên, đều giữ bản chức mà mang hàm để dự vào chính sự dưới chức tham tụng.
HVQ_036_011118	Sự chọn dùng đều tự ý chúa quyết định, không cứ phẩm chức nào (trong khoảng những đời Thuận Đức, Hoằng Định, Nguyễn Danh Thế, Ngô Trí Hòa đều lấy chức đô cấp sự trung vào làm bồi tụng).
HVQ_036_011119	Các đời đều theo, thành chế độ nhất định.
HVQ_036_011120	Đến đời Chiêu Thống, nhà vua nhất thống mới bỏ những chức ấy, mà đặt lại chức tham tri như xưa, là theo điển cũ lúc mới dựng nước.
HVQ_036_011121	Chức hành khiến, bắt đầu đặt từ đời Lý, chuyên lấy trung quan làm chức ấy, gia thêm danh hiệu "nhập nội hành khiển đồng trung thư môn hạ bình chương sự" cũng là chức đứng sau tể tướng.
HVQ_036_011122	Nhà Trần buổi đầu theo chế độ cũ nhà Lý, lại chia làm Hành khiến tả hữu ty ở Thượng hoàng ở và Hành khiến ty ở Hoàng đế ở đều gọi là Mật viện.
HVQ_036_011123	Đến đời Khai Thái [1324 - 1329], lại đổi cả làm Môn hạ sảnh.
HVQ_036_011124	Đầu đời Nhân Tông, Quang Khải làm tướng, không thích để cho hành khiển với tể tướng cùng hàm, mới tâu vua xin đổi làm Trung thư môn hạ công sự.
HVQ_036_011125	Đến đời Minh Tông, cho Trần Khắc Chung làm Hành khiển, lại gia thêm Đồng trung thư môn hạ bình chương sự, đó là theo phép cũ.
HVQ_036_011126	Trước đấy chỉ chuyên dùng nội quan làm chức hành khiến.
HVQ_036_011127	Thánh Tông dùng Đỗ Quốc Tá, rồi sau những người văn học mới được nối nhau lên làm (như Nguyễn Trung Ngạn, Phạm Sư Mạnh, Lê Cư Nhân, đều dùng làm chức ấy), chức hành khiển mới là đường lối quan yếu của nhà Nho.
HVQ_036_011128	Triều Lê lúc mới lên theo quan chế của nhà Trần, chia đặt chức đại hành khiển và hành khiển năm đạo, cho chia giữ các việc số sách kiện tụng.
HVQ_036_011129	(1) Với quan: cũng như trung quan, tức là hoạn quan.
HVQ_036_011130	Đời Trần buổi đầu chuyên dùng hoạn quan làm hành khiển, như bọn Phạm Ứng Mộng, Lê Tòng Giáo v.v...
HVQ_036_011131	Quan chức chí D55 tụng về quân dân, những chức ấy đều ở đầu văn ban, ngang với tể tướng.
HVQ_036_011132	Đến đời Thánh Tông sửa lại quan chế mới bỏ chức ấy.
HVQ_036_011133	Từ đấy về sau không dùng [chức hành khiển] nữa.
HVQ_036_011134	Chức thượng thư đặt ra bắt đầu từ đời Lý, nhưng tên các bộ chia đặt thế nào chưa rõ.
HVQ_036_011135	(Đời Nhân Tông, Mạc Hiển Tích, Đoàn Văn Khâm đều làm Thượng thư).
HVQ_036_011136	Đời Trần theo phép ấy đặt chức thượng thư hành khiển, thượng thư hữu bật.
HVQ_036_011137	Sau, vào đời Đại Khánh [1314 - 1324] và đời Quang Thái [1388 - 1398] mới chia ra thượng thư các bộ (như trong đời Đại Khánh, Doãn Bang Hiến làm Thượng thư Lại bộ.
HVQ_036_011138	Đỗ Nhân Giám làm Thượng thư Binh bộ, Trần Chiêu Ngạn làm Thượng thư Hình bộ).
HVQ_036_011139	Đời Lê sơ, chỉ đặt 2 bộ Lại, Lễ, còn thì chưa đặt đủ.
HVQ_036_011140	Đến khi Nghi Dân cướp ngôi, mới đặt sáu bộ, Thánh Tông lên ngôi, chọn đặt thượng thư các bộ (Nguyễn Như Đổ làm Thượng thư Lại bộ, Nguyễn Cư Pháp làm Thượng thư Hộ bộ, Nguyễn Đình Mỹ làm Thượng thư Lễ bộ, Nguyễn Vĩnh Tích làm Thượng thư Hình bộ), đều ban cho ấn bộ, chức ở đầu tòng nhị phẩm.
HVQ_036_011141	Thời Trung hưng về sau, vẫn đặt theo như thế, không đổi.
HVQ_036_011142	Ở đời Lý, chức quan coi việc dân gọi là khu mật, có tả [sứ], hữu sứ.
HVQ_036_011143	Đến đời Trần đặt Khu mật viện, tham dự bàn việc triều đình, có những chức tham tri, giám sự, cũng gọi là đại sứ, phó sứ, đại khái đều là chức quan trọng.
HVQ_036_011144	Bấy giờ dùng quan văn làm các chức ấy (như Đoàn Nhữ Hài, Nguyễn Trung Ngạn đều làm chức Tri khu mật viện sự).
HVQ_036_011145	Buổi đầu đời Thiệu Phong [1341 - 1358] cho Khu mật viện lĩnh cấm quân, thì chức vụ càng trọng.
HVQ_036_011146	Nhà Lê buổi đầu theo quan chế nhà Trần, đặt Nội mật viện; có những chức [viện] sứ, phó [sứ] tri viện sự, đồng tri, thiêm tri viện sự và chánh chưởng quan.
HVQ_036_011147	Đến Thánh Tông định lại quan chế, bãi bỏ [Nội mật viện].
HVQ_036_011148	Đầu đời Chiêu Thống lại đặt Khu mật viện, nhưng rồi lại bãi.
HVQ_036_011149	Chức bộc xạ bắt đầu đặt ra từ đời Trần Nhân Tông, có chức tả [bộc xạ] và hữu [bộc xạ], thường dùng hành khiển thượng thư làm chức ấy.
HVQ_036_011150	Lịch triều hiến chương loại chí (như Trần Thời Kiến, Trần Bang Cẩn đều làm Hành khiển thượng thư tả bộc xạ).
HVQ_036_011151	Đó là chức vụ á tướng.
HVQ_036_011152	Đầu nhà Lê, Thái Tổ cũng đặt thị trung bộc xạ làm chức đại thần giữ then chốt chính trị.
HVQ_036_011153	Đến đời Hồng Đức, định lại quan chế mới bãi chức ấy.
HVQ_036_011154	Chức ngự sử, đời Lý về trước chưa đặt.
HVQ_036_011155	Đời Trần mới đặt Ngự sử đài, có những chức thị ngự sử, giám sát ngự sử, ngự sử trung tán, ngự sử trung thừa, ngự sử đại phu, chủ thư thị ngự sử.
HVQ_036_011156	Đời Lê sơ, Thái Tổ dựng nước, theo quan chế cũ của nhà Trần, vẫn đặt Ngự sử đài có các chức thị ngự sử, trung thừa, phó trung thừa, giám sát ngự sử, chủ bạ; sau mới đặt đô ngự sử, phó đô ngự sử, thiêm đô ngự sử, cùng ngự sử đại phu làm trưởng quan của đài.
HVQ_036_011157	Ngự sử đài giữ phong hóa pháp độ, chức danh rất trọng.
HVQ_036_011158	Đời Thánh Tông định lại quan chế, chỉ đặt đô ngự sử, phó đô ngự sử, thiêm đô ngự sử, giám sát ngự sử và ba giám sát ngự sử các đạo.
HVQ_036_011159	Còn các chức khác đều bãi.
HVQ_036_011160	Thời Trung hưng về sau đều noi theo không đổi.
HVQ_036_011161	Đời Lý buổi đầu đặt quan, đã có những chức trung thư thị lang, bộ thị lang, nhưng [các bộ] không đặt đủ.
HVQ_036_011162	Đời Trần theo quan chế nhà Lý, đặt đủ thị lang ở sáu bộ.
HVQ_036_011163	Đến đầu đời Lê đặt tả hữu thị lang, thuộc các sảnh Hoàng môn, Môn hạ, mà chưa chia đặt sáu bộ.
HVQ_036_011164	Thánh Tông, khoảng đầu đời Quang Thuận [1460 - 1470], đặt sáu bộ, có đủ tả hữu thị lang, phẩm trật ở vào hàng tòng tam.
HVQ_036_011165	Về sau các đời noi theo cho đến cuối triều Lê.
HVQ_036_011166	Chức học sĩ bắt đầu có từ đời Lý.
HVQ_036_011167	Đời Nhân Tông đã đặt học sĩ các điện (như Bùi Cảnh Hựu làm Văn Minh điện học sĩ).
HVQ_036_011168	Nhà Trần theo quan chế nhà Lý, lại đặt thêm những chức Kinh diên đại học sĩ, nhập thị học sĩ, thiên chương học sĩ (như trong đời Thánh Tông, Nguyễn Sĩ Cố làm Nhập thị học sĩ, sau thiên làm Thiên chương học sĩ).
HVQ_036_011169	Lê Thái Tổ lúc đầu cũng đặt chức học sĩ, nhưng còn thuộc vào Hàn lâm viện.
HVQ_036_011170	Đến Thánh Tông định lại quan chế lại đặt học sĩ các điện (như Nguyễn Bá Ký làm Văn Minh điện Đại học sĩ, Nguyễn Cư Đạo làm Cẩn Đức điện Đại học sĩ).
HVQ_036_011171	Lại đặt các chức Đông các đại học sĩ, và [Đông Các].
HVQ_036_011172	học sĩ, phẩm trật ở hàng chánh tứ.
HVQ_036_011173	Thời Trung hưng về sau, bãi chức học sĩ các điện, nhưng về chức Đông các học sĩ vẫn theo đời Hồng Đức.
HVQ_036_011174	Đời Lý đã đặt Hàn lâm viện và đặt chức học sĩ (trong đời Nhân Tông, Mạc Hiến Tích làm Hàn lâm học sĩ).
HVQ_036_011175	Nhà Trần noi theo, lại đặt chức Hàn lâm phụng chỉ, chức vụ rất trọng, thường dùng thái sư, mật viện kiêm chức ấy (như trong đời Nhân Tông, lấy Thái sư Định Củng Viên làm Hàn lâm học sĩ phụng chỉ, sai kiêm coi việc Nội mật viện).
HVQ_036_011176	[Công việc của Hàn lâm phụng chỉ] là soạn đặt tờ chiếu thay vua.
HVQ_036_011177	Trải qua các triều, những người lên chức ấy đều là nhà Nho nổi tiếng về văn học (như Nguyễn Trung Ngạn, Trương Hán Siêu, Lê Quát, Hồ Tông Thốc, trước sau nối nhau vào Hàn lâm viện).
HVQ_036_011178	Những phẩm giá Ngọc đường ấy thực là những người kén chọn vẻ vang trong một thời.
HVQ_036_011179	Nhà Lê lúc mới dựng nước vẫn đặt các quan Hàn lâm viện, có những chức phụng chỉ học sĩ (bấy giờ Nguyễn Trãi làm Hàn lâm phụng chỉ, giữ việc soạn các bài chế, cáo), thị độc, thị giảng, trực học sĩ, tri chế cáo, đãi chế, hiệu kiểm.
HVQ_036_011180	Sau lại đặt đại học sĩ làm quan viện trưởng.
HVQ_036_011181	Thánh Tông định lại quan chế, bãi chức đại học sĩ mà đặt các chức thừa chỉ, thị độc, thị giảng, thị thư, đãi chế, hiệu lý, tu soạn, kiểm thảo, phẩm trật ở hàng chánh tứ trở xuống.
HVQ_036_011182	Thời Trung hưng về sau vẫn noi theo không đổi.
HVQ_036_011183	Đầu nhà Lý, Thái Tông đặt quan, có các chức tả hữu gián nghị đại phu.
HVQ_036_011184	Nhà Trần cũng theo đặt các chức ấy, thường lấy quan hành khiển kiêm làm (như đời Anh Tông, cho Trần Thời Kiến làm nhập nội hành khiển, hữu gián nghị đại phu), đó cũng là chức quan ở chính sảnh.
HVQ_036_011185	Đời Lê, lúc đầu đặt tả hữu gián nghị thuộc Môn hạ sảnh.
HVQ_036_011186	Đến đời Hồng Đức định lại quan chế mới bỏ các chức ấy.
HVQ_036_011187	Các đời sau, để khen những bề tôi nói thẳng thì đặc cách gia thêm cho hàm ấy, nhưng không liệt vào giai cấp.
HVQ_036_011188	(1) Ngọc đường: Tống Thái Tông viết cho Hàn lâm viện bốn chữ "Ngọc đường chi thự", nghĩa là cái nhà thanh quý như ngọc.
HVQ_036_011189	558 Lịch triều hiến chương loại chí Chức viên ngoại bắt đầu từ đầu đời Lý, thường dùng chức quan ấy sung sứ bộ đi cống (như năm Thuận Thiên thứ 1 [1010] sai Viên ngoại lang là bọn Lương Văn sang Tống; năm thứ 2 [1011], lại sai viên ngoại lang Lý Nhân Nghĩa sang Tống; năm thứ 3 [1012] lại sai Viên ngoại lang là bọn Ngô Nhương sang Tống).
HVQ_036_011190	Đến đời Thần Tông lại đặt chức viên ngoại ở Thượng thư sảnh, dự làm chính sự, danh vị cũng trọng.
HVQ_036_011191	Quan trong quan ngoài thường gia thêm chức ấy (như nội thị là bọn Phí Công Tín, Hàn Quốc Bảo đều gia chức Viên ngoại lang; coi việc phủ Thanh Hóa là bọn Phạm Tín, Dương Chưởng cũng gia chức Viên ngoại lang).
HVQ_036_011192	Nhà Trần theo đặt chức ấy, chức sự cũng thuộc về Trung thư.
HVQ_036_011193	Nhà Lê lúc mới dựng nước bắt đầu đặt chức viên ngoại lang ở sáu bộ (lấy bọn Nguyễn Tôn Vỹ sáu người làm chức ấy).
HVQ_036_011194	Đến đời Hồng Đức định lại quan chế, đặt phẩm trật viên ngoại vào hàng tòng lục.
HVQ_036_011195	Thời Trung hưng về sau noi theo không đổi, nhưng danh chức hơi thấp, chỉ để trao cho những người tạp lưu trúng trường thôi.
HVQ_036_011196	Nhà Lý lúc đầu đặt tả ty lang trung.
HVQ_036_011197	Nhà Trần noi theo, lại đặt hữu ty lang trung, đều thuộc Trung thư và Môn hạ, thường dùng hành khiển làm chức ấy, chức vụ cũng trọng (như đời Minh Tông, Tạ Bất Căng là Nhập nội hành khiển làm tả ty lang trung; Vũ Nghiêu Tá là Nhập nội hành khiển, kiêm hành Hữu ty lang trung).
HVQ_036_011198	Đầu nhà Lê, Thái Tổ chia Môn hạ làm tả hữu ty, cũng đặt chức lang trung như nhà Trần, lại đặt lang trung ở sáu bộ, nhưng chức đã thấp, không trọng như đời Trần.
HVQ_036_011199	Đời Hồng Đức định lại quan chế, đặt phẩm trật [lang trung] vào hàng chánh lục.
HVQ_036_011200	Thời Trung hưng về sau chỉ dùng để trao cho những người tạp lưu trúng trường thôi.
HVQ_036_011201	Đầu nhà Lê, Thái Tổ đặt quan, chức thiêm sự thuộc về Mật viện.
HVQ_036_011202	Thánh Tông định lại quan chế, đặt chức thiêm sự ở Thiêm sự viện, phẩm trật ở vào hàng chánh ngũ.
HVQ_036_011203	Thời Trung hưng về sau lại đặt thêm các chức thiếu thiêm sự, điển sứ.
HVQ_036_011204	[Những chức ấy] chỉ đặt tên không.
HVQ_036_011205	xả vố Quan chức chí 559 chứ không làm việc gì, chỉ dùng để trao cho những người tạp lưu trúng trường thôi.
